,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0955509","29,57","2,82"
Insumo, 2001 ,ORSE,"Saída horizontal para eletroduto 1"" (ref. vl 33 valemam ou similar)",Material,,un,"1,0000000","3,19","3,19"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.5 ,,,CABOS E TERMINAIS DOS CABOS,,,,,,
 10.5.5.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91926 ,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","3,62","3,62"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0229632","24,99","0,57"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0229632","29,57","0,67"
Insumo, 00001014 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 1 CONDUTOR, 450/750 V, SECAO NOMINAL 2,5 MM2",Material,,M,"1,2434000","1,90","2,36"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0094000","3,02","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6 ,,,ALIMENTADORES ELÉTRICOS,,,,,,
 10.6.1 ,,,CABOS E TERMINAIS DOS CABOS,,,,,,
 10.6.1.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91931 ,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 6 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","8,46","8,46"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0404356","24,99","1,01"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0404356","29,57","1,19"
Insumo, 00000994 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 6 MM2",Material,,M,"1,2434000","5,02","6,24"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0094000","3,02","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91929 ,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 4 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","6,00","6,00"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0310013","24,99","0,77"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0310013","29,57","0,91"
Insumo, 00001021 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 4 MM2",Material,,M,"1,2434000","3,46","4,30"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0094000","3,02","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92982 ,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 16 MM², ANTI-CHAMA 0,6/1,0 KV, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020","Instalações Elétricas - Quadros, Cabos, Disjuntores, Contatores e Barramentos Blindados",,M,"1,0000000","14,01","14,01"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0096797","24,99","0,24"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0096797","29,57","0,28"
Insumo, 00000995 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 16 MM2",Material,,M,"1,0270000","13,11","13,46"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0100000","3,02","0,03"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 101889 ,SINAPI,"CABO DE COBRE ISOLADO, 25 MM², ANTI-CHAMA 0,6/1 KV, INSTALADO EM ELETROCALHA OU PERFILADO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020","Instalações Elétricas - Quadros, Cabos, Disjuntores, Contatores e Barramentos Blindados",,M,"1,0000000","21,36","21,36"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0084288","24,99","0,21"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0084288","29,57","0,24"
Insumo, 00000996 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 25 MM2",Material,,M,"1,0270000","20,34","20,88"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0100000","3,02","0,03"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 92986 ,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 35 MM², ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",Redes Enterradas de Distribuição Elétrica,,M,"1,0000000","32,14","32,14"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0543061","24,99","1,35"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0543061","29,57","1,60"
Insumo, 00001019 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 35 MM2",Material,,M,"1,0150000","28,74","29,17"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0090000","3,02","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0134 ,Próprio,"CABO DE COBRE ISOLADO, 50 MM², ANTI-CHAMA 0,6/1 KV, INSTALADO EM ELETROCALHA OU PERFILADO - FORNECIMENTO E INSTALAÇÃO",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,M,"1,0000000","42,92","42,92"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0073724","24,99","0,18"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0073724","29,57","0,21"
Insumo, 00021127 ,SINAPI,"FITA ISOLANTE ADESIVA ANTICHAMA, USO ATE 750 V, EM ROLO DE 19 MM X 5 M",Material,,UN,"0,0100000","3,02","0,03"
Insumo, 00001018 ,SINAPI,"CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 50 MM2",Material,,M,"1,0000000","42,50","42,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0135 ,Próprio,"TERMINAL OLHAL PARA CABO DE 4,00MM2 À 6,00MM2",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","7,78","7,78"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0796257","24,99","1,98"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0796257","29,57","2,35"
Insumo, I6161 ,SEINFRA,"TERMINAL OLHAL PARA CABO DE 4,00mm2  A  6,00mm2",Material,,UN,"1,0000000","3,45","3,45"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0136 ,Próprio,TERMINAL A COMPRESSÃO PARA CABO DE 10 mm² A 16mm²,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","5,96","5,96"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0797766","24,99","1,99"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0797766","29,57","2,35"
Insumo, 00001575 ,SINAPI,"TERMINAL A COMPRESSAO EM COBRE ESTANHADO PARA CABO 16 MM2, 1 FURO E 1 COMPRESSAO, PARA PARAFUSO DE FIXACAO M6",Material,,UN,"1,0000000","1,62","1,62"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.9 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0137 ,Próprio,TERMINAL A COMPRESSÃO PARA CABO DE 25 mm² A 35mm²,ASTU - ASSENTAMENTO DE TUBOS E PECAS,,UN,"1,0000000","6,87","6,87"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0796257","24,99","1,98"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0796257","29,57","2,35"
Insumo, 00001577 ,SINAPI,"TERMINAL A COMPRESSAO EM COBRE ESTANHADO PARA CABO 35 MM2, 1 FURO E 1 COMPRESSAO, PARA PARAFUSO DE FIXACAO M8",Material,,UN,"1,0000000","2,54","2,54"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.1.10 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0138 ,Próprio,TERMINAL A COMPRESSÃO PARA CABO DE 50 mm² A 120mm²,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","13,81","13,81"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0793239","24,99","1,98"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0793239","29,57","2,34"
Insumo, 00001581 ,SINAPI,"TERMINAL A COMPRESSAO EM COBRE ESTANHADO PARA CABO 120 MM2, 1 FURO E 1 COMPRESSAO, PARA PARAFUSO DE FIXACAO M12",Material,,UN,"1,0000000","9,49","9,49"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2 ,,,ELETROCALHA E ACESSÓRIOS,,,,,,
 10.6.2.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0125 ,Próprio,ELETROCALHA PERFURADA 50x200mm - FORNECIMENTO E INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,M,"1,0000000","77,44","77,44"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,0364928","24,99","25,90"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"1,0364928","29,57","30,64"
Insumo, 2692 ,ORSE,Eletrocalha metálica perfurada 200 x 50 x 3000 mm (ref. mopa ou similar),Material,,m,"1,0000000","20,90","20,90"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0128 ,Próprio,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x200mm - FORNECIMENTO E INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","11,95","11,95"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1201353","23,37","2,80"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1201353","29,57","3,55"
Insumo, 4036 ,ORSE,Emenda interna 200 x 50 mm com base lisa perfurada para eletrocalha metálica (ref. Mopa ou similar),Material,,un,"1,0000000","3,68","3,68"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"4,0000000","0,10","0,40"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"4,0000000","0,30","1,20"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"4,0000000","0,08","0,32"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0132 ,Próprio,CURVA HORIZONTAL 90° PARA ELETROCALHA 50x200mm - FORNECIMENTO E  INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","30,34","30,34"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1592472","23,37","3,72"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1592472","29,57","4,70"
Insumo, 6552 ,ORSE,"Curva horizontal 200 x 50 mm para eletrocalha metálica, com ângulo 90° (ref.:mopa ou similar)",Material,,un,"1,0000000","20,00","20,00"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"4,0000000","0,10","0,40"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"4,0000000","0,30","1,20"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"4,0000000","0,08","0,32"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0130 ,Próprio,REDUÇÃO CONCÊNTRICA DA ELETROCALHA PERFURADA 50x200mm / 50X100mm - FORNECIMENTO E INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","39,41","39,41"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1193577","23,37","2,78"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1193577","29,57","3,52"
Insumo, 8314 ,ORSE,Redução concêntrica 200 x 50mm / 100 x 50mm para eletrocalha metálica (ref. mopa ou similar),Material,,un,"1,0000000","29,27","29,27"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"8,0000000","0,10","0,80"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"8,0000000","0,30","2,40"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"8,0000000","0,08","0,64"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0147 ,Próprio,"SUPORTE TIRANTE PARA ELETROCALHA 50x200mm COM VERGALHÃO,  PORCAS, ARRUELAS E PARABOLTS - FORNECIMENTO E INSTALAÇÃO",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","23,35","23,35"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2393374","23,37","5,59"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2393374","29,57","7,07"
Insumo, 13682 ,ORSE,Suporte vertical  200 x50 mm  para fixação de eletrocalha metálica ( ref.: Mopa ou similar),Material,,un,"1,0000000","6,80","6,80"
Insumo, 00039996 ,SINAPI,"VERGALHAO ZINCADO ROSCA TOTAL, 1/4"" (6,3 MM)",Material,,M,"0,5560000","3,45","1,91"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"2,0000000","0,30","0,60"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"2,0000000","0,08","0,16"
Insumo, 00011976 ,SINAPI,"CHUMBADOR DE ACO ZINCADO, DIAMETRO 1/4"" COM PARAFUSO 1/4"" X 40 MM",Material,,UN,"1,0000000","1,22","1,22"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0124 ,Próprio,ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,M,"1,0000000","54,20","54,20"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7175371","24,99","17,93"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7175371","29,57","21,21"
Insumo, I1048 ,SEINFRA,DUTO PERFURADO-ELETROCALHA CHAPA DE AÇO (50X100)MM,Material,,M,"1,0000000","15,06","15,06"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.2.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0188 ,Próprio,TÊ HORIZONTAL PARA ELETROCALHA PERFURADA 50x100mm -  FORNECIMENTO E INSTALAÇÃO,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","36,05","36,05"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1601570","24,99","4,00"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1601570","29,57","4,73"
Insumo, 4095 ,ORSE,Tê horizontal 100 x 50 mm para eletrocalha metálica (ref. Mopa ou similar),Material,,un,"1,0000000","21,56","21,56"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"12,0000000","0,10","1,20"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"12,0000000","0,30","3,60"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"12,0000000","0,08","0,96"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.3 ,,,ELETRODUTOS E ACESSÓRIOS,,,,,,
 10.6.3.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 97667 ,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PEAD, DN 50 (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",Redes Enterradas de Distribuição Elétrica,,M,"1,0000000","6,58","6,58"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0536172","24,99","1,33"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0536172","29,57","1,58"
Insumo, 00039246 ,SINAPI,"ELETRODUTO/DUTO PEAD FLEXIVEL PAREDE SIMPLES, CORRUGACAO HELICOIDAL, COR PRETA, SEM ROSCA, DE 1 1/2"", CRC 680 N, PARA CABEAMENTO SUBTERRANEO (NBR 15715)",Material,,M,"1,1000000","3,34","3,67"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.3.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0121 ,Próprio,FITA DE ADVERTÊNCIA DE REDE ELÉTRICA ENTERRADA,INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,M,"1,0000000","2,07","2,07"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0401339","23,37","0,93"
Insumo, 11201 ,ORSE,Fita de advertência de rede elétrica enterrada,Material,,m,"1,0000000","1,14","1,14"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.3.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 93009 ,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 60 MM (2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",Redes Enterradas de Distribuição Elétrica,,M,"1,0000000","19,69","19,69"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1024380","24,99","2,55"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1024380","29,57","3,02"
Insumo, 00002681 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 2 "", SEM LUVA",Material,,M,"1,1000000","12,84","14,12"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.6.3.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 93014 ,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 60 MM (2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",Redes Enterradas de Distribuição Elétrica,,UN,"1,0000000","14,30","14,30"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2056814","24,99","5,13"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2056814","29,57","6,08"
