,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
18.1.1.2,89578,SINAPI,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 100 MM, FORNECIDO E INSTALADO EM CONDUTORES VERTICAIS DE ÁGUAS PLUVIAIS. AF_06/2022",M,"R$ 26,54","47,87","R$ 1.270,46","R$ 1.542,97",,,,,,
18.1.1.3,104166,SINAPI,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 150 MM, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022",M,"R$ 59,87","90,90","R$ 5.442,18","R$ 6.609,52",,,,,,
18.1.1.4,89580,SINAPI,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 150 MM, FORNECIDO E INSTALADO EM CONDUTORES VERTICAIS DE ÁGUAS PLUVIAIS. AF_06/2022",M,"R$ 54,85","27,64","R$ 1.516,05","R$ 1.841,24",,,,,,
18.1.1.5,102991,SINAPI,CANALETA MEIA CANA PRÉ-MOLDADA DE CONCRETO (D = 40 CM) - FORNECIMENTO E INSTALAÇÃO. AF_08/2021,M,"R$ 52,55","40,00","R$ 2.102,00","R$ 2.552,87",,,,,,
18.1.1.6,92210,SINAPI,"TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 400 MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_03/2024",M,"R$ 141,17","50,00","R$ 7.058,50","R$ 8.572,54",,,,,,
18.1.2,,,CONEXÕES,,,,,,,,,,,
18.1.2.1,95694,SINAPI,"CURVA 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022",UN,"R$ 45,10","3,00","R$ 135,30","R$ 164,32",,,,,,
18.1.2.2,89531,SINAPI,"JOELHO 45 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022",UN,"R$ 33,02","4,00","R$ 132,08","R$ 160,41",,,,,,
18.1.2.3,89669,SINAPI,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM CONDUTORES VERTICAIS DE ÁGUAS PLUVIAIS. AF_06/2022",UN,"R$ 27,66","3,00","R$ 82,98","R$ 100,77",,,,,,
18.1.2.4,89677,SINAPI,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 150 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM CONDUTORES VERTICAIS DE ÁGUAS PLUVIAIS. AF_06/2022",UN,"R$ 66,19","8,00","R$ 529,52","R$ 643,10",,,,,,
18.1.2.5,104167,SINAPI,"JOELHO 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 150 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022",UN,"R$ 107,10","4,00","R$ 428,40","R$ 520,29",,,,,,
18.1.2.6,89495,SINAPI,"RALO SIFONADO, PVC, DN 100 X 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAIS DE ENCAMINHAMENTO DE ÁGUA PLUVIAL. AF_06/2022",UN,"R$ 15,53","8,00","R$ 124,24","R$ 150,88",,,,,,
18.1.2.7,103005,SINAPI,"CAIXA COM GRELHA RETANGULAR DE FERRO FUNDIDO, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, DIMENSÕES INTERNAS: 0,15 X 1,00 X 0,3 M. AF_08/2021",UN,"R$ 463,97","4,00","R$ 1.855,88","R$ 2.253,96",,,,,,
18.1.3,,,CAIXAS,,,,,,,,,,,
18.1.3.1,99253,SINAPI,"CAIXA ENTERRADA HIDRÁULICA RETANGULAR EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M PARA REDE DE DRENAGEM. AF_12/2020",UN,"R$ 449,39","12,00","R$ 5.392,68","R$ 6.549,40",,,,,,
18.1.3.2,97956,SINAPI,"CAIXA PARA BOCA DE LOBO SIMPLES RETANGULAR, EM ALVENARIA COM BLOCOS DE CONCRETO, DIMENSÕES INTERNAS: 0,6X1X1,2 M. AF_12/2020",UN,"R$ 1.240,88","3,00","R$ 3.722,64","R$ 4.521,14",,,,,,
18.1.3.3,99275,SINAPI,"BASE PARA POÇO DE VISITA CIRCULAR PARA DRENAGEM, EM CONCRETO PRÉ-MOLDADO, DIÂMETRO INTERNO = 0,80 M, PROFUNDIDADE = 1,35 M, EXCLUINDO TAMPÃO. AF_12/2020",UN,"R$ 840,19","2,00","R$ 1.680,38","R$ 2.040,82",,,,,,
18.1.4,,,RALOS/CAIXA SIFONADA,,,,,,,,,,,
18.1.4.1,L0019,UFCA,"RALO SEMIESFÉRICO EM FERRO FUNDIDO, 100MM, EM CALHA DE ÁGUA PLUVIAL",UN,"R$ 37,61","2,00","R$ 75,22","R$ 91,35",,,,,,
18.1.4.2,L0020,UFCA,"RALO SEMIESFÉRICO EM FERRO FUNDIDO, 150MM, EM CALHA DE ÁGUA PLUVIAL",UN,"R$ 60,10","4,00","R$ 240,40","R$ 291,96",,,,,,
18.2,,,GRANITO/ MAPAS,,,,,,,,,,,
18.2.1,R0001,UFCA,"PRATELEIRA/TAMPO EM GRANITO CINZA OCRE, ESP= 2CM",M2,"R$ 479,76","7,11","R$ 3.411,09","R$ 4.142,76",,,,,,
18.2.2,G0004,UFCA,DIVISÓRIA DE GRANITO CINZA E=2cm,M2,"R$ 405,86","44,97","R$ 18.251,52","R$ 22.166,47",,,,,,
18.2.3,R0051,UFCA,"MAPA TÁTIL EM ACRÍLICO MEDINDO 70 X 50CM, COM SUPORTE EM CHAPA EM FERRO E TUBO DE FERRO GALVANIZADO 40 MM",UN,"R$ 1.511,87","2,00","R$ 3.023,74","R$ 3.672,33",,,,,,
18.2.4,98685,SINAPI,"RODAPÉ EM GRANITO, ALTURA 10 CM. AF_09/2020",M,"R$ 57,09","15,12","R$ 863,20","R$ 1.048,35",,,,,,
18.2.5,R0006,UFCA,FILETE DE 4 CM EM GRANITO CINZA OCRE,M,"R$ 56,38","62,57","R$ 3.527,69","R$ 4.284,37",,,,,,
18.2.6,R0003,UFCA,"CANTONEIRA DE AÇO DE ABAS IGUAIS DE 1.1/2"" E ESPESSURA DE 1/8"" PARA FIXAÇÃO EM PAREDE",M,"R$ 23,12","21,40","R$ 494,76","R$ 600,88",,,,,,
18.3,,,ANDAIME,,,,,,,,,,,
18.3.1,Q0002,UFCA,ANDAIME METÁLICO FACHADEIRO COM PISO METÁLICO DE ENCAIXE P/ FACHADAS – LOCAÇÃO MENSAL,M2XMÊS,"R$ 6,49","4033,39","R$ 26.176,70","R$ 31.791,60",,,,,,
18.4,,,LIMPEZA,,,,,,,,,,,
18.4.1,99806,SINAPI,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE COM PANO ÚMIDO AF_04/2019,M2,"R$ 0,74","338,12","R$ 250,20","R$ 303,86",,,,,,
18.4.2,99803,SINAPI,LIMPEZA DE PISO CERÂMICO OU PORCELANATO COM PANO ÚMIDO. AF_04/2019,M2,"R$ 1,80","134,30","R$ 241,74","R$ 293,59",,,,,,
18.5,,,CERCAMENTO,,,,,,,,,,,
18.5.1,98522,SINAPI,"ALAMBRADO EM MOURÕES DE CONCRETO, COM TELA DE ARAME GALVANIZADO (INCLUSIVE MURETA EM CONCRETO). AF_05/2018",M,"R$ 130,35","86,48","R$ 11.272,66","R$ 13.690,64",,,,,,
18.5.2,101199,SINAPI,"CERCA COM MOURÕES DE CONCRETO, SEÇÃO ""T"" PONTA INCLINADA, 10X10CM, ESPAÇAMENTO DE 2,5M, CRAVADOS 0,5M, COM 11 FIOS DE ARAME MISTO - FORNECIMENTO E INSTALAÇÃO. AF_05/2020",M,"R$ 69,93","185,48","R$ 12.970,61","R$ 15.752,80",,,,,,
18.6,,,POÇO PROFUNDO,,,,,,,,,,,
18.6.1,R0038,UFCA,SERVIÇO DE PERFURAÇÃO DE POÇO COM 200 M DE PROFUNDIDADE USANDO O MÉTODO À PERCUSSÃO COM BROCA DE 12”,M,"R$ 254,89","200,00","R$ 50.978,00","R$ 61.912,78",,,,,,
18.6.2,R0039,UFCA,"SERVIÇO DE REVESTIMENTO EM TUBO DE PVC GEOMECÂNICO NERVURADO RÍGIDO DE 8""",M,"R$ 210,19","120,00","R$ 25.222,80","R$ 30.633,09",,,,,,
18.6.3,R0040,UFCA,"SERVIÇO DE REVESTIMENTO EM FILTRO DE PVC GEOMECÂNICO NERVURADO RÍGIDO DE 8""",M,"R$ 317,50","80,00","R$ 25.400,00","R$ 30.848,30",,,,,,
18.6.4,R0041,UFCA,COLOCAÇÃO DE PRÉ-FILTRO E CASCALHO SELECIONADO,M,"R$ 289,41","10,00","R$ 2.894,10","R$ 3.514,88",,,,,,
18.6.5,R0045,UFCA,"CENTRALIZADOR EM BARRA CHATA 1""",UN,"R$ 79,62","20,00","R$ 1.592,40","R$ 1.933,96",,,,,,
18.6.6,R0042,UFCA,"TESTE DE BOMBEAMENTO, DESENVOLVIMENTO E VAZÃO",M,"R$ 3.997,09","1,00","R$ 3.997,09","R$ 4.854,46",,,,,,
18.6.7,R0043,UFCA,"FORNECIMENTO E INSTALAÇÃO DE BOMBA SUBMERSA DE 25 HP, COM VAZÃO ESTIMADA DE 18 M3/H E ALTURA MANOMÉTRICA DE 252,90M",UN,"R$ 30.040,29","1,00","R$ 30.040,29","R$ 36.483,93",,,,,,
18.6.8,R0044,UFCA,FORNECIMENTO E INSTALAÇÃO DE CHAVE DE PARTIDA DA BOMBA SOFT START,UN,"R$ 2.218,59","1,00","R$ 2.218,59","R$ 2.694,47",,,,,,
19.0,,,PAISAGISMO/URBANIZAÇÃO,,,,,,,"R$ 287.112,01","R$ 348.697,39",,,
19.1,,,PASSEIO/ BLOQUETES/ MEIO-FIO,,,,,,,,,,,
19.1.1,94993,SINAPI,"EXECUÇÃO DE PASSEIO (CALÇADA) OU PISO DE CONCRETO COM CONCRETO MOLDADO IN LOCO, USINADO, ACABAMENTO CONVENCIONAL, ESPESSURA 6 CM, ARMADO. AF_08/2022",M2,"R$ 57,06","1077,32","R$ 61.471,87","R$ 74.657,58",,,,,,
19.1.10,96620,SINAPI,"LASTRO DE CONCRETO MAGRO, APLICADO EM PISOS, LAJES SOBRE SOLO OU RADIERS. AF_01/2024",M3,"R$ 613,07","8,69","R$ 5.327,57","R$ 6.470,33",,,,,,
19.1.11,97635,SINAPI,"REMOÇÃO DE PISO DE BLOCO INTERTRAVADO OU DE PEDRA PORTUGUESA, DE FORMA MANUAL, COM REAPROVEITAMENTO. AF_09/2023",M2,"R$ 15,06","132,42","R$ 1.994,24","R$ 2.422,00",,,,,,
19.1.2,94265,SINAPI,"GUIA (MEIO-FIO) CONCRETO, MOLDADA IN LOCO EM TRECHO RETO COM EXTRUSORA, 15 CM BASE X 30 CM ALTURA. AF_01/2024",M,"R$ 37,55","291,88","R$ 10.960,09","R$ 13.311,02",,,,,,
19.1.3,94266,SINAPI,"GUIA (MEIO-FIO) CONCRETO, MOLDADA IN LOCO EM TRECHO CURVO COM EXTRUSORA, 15 CM BASE X 30 CM ALTURA. AF_01/2024",M,"R$ 41,96","32,87","R$ 1.379,22","R$ 1.675,06",,,,,,
19.1.4,94267,SINAPI,"GUIA (MEIO-FIO) E SARJETA CONJUGADOS DE CONCRETO, MOLDADA IN LOCO EM TRECHO RETO COM EXTRUSORA, 45 CM BASE (15 CM BASE DA GUIA + 30 CM BASE DA SARJETA) X 22 CM ALTURA. AF_01/2024",M,"R$ 45,11","256,76","R$ 11.582,44","R$ 14.066,87",,,,,,
19.1.5,94268,SINAPI,"GUIA (MEIO-FIO) E SARJETA CONJUGADOS DE CONCRETO, MOLDADA IN LOCO EM TRECHO CURVO COM EXTRUSORA, 45 CM BASE (15 CM BASE DA GUIA + 30 CM BASE DA SARJETA) X 22 CM ALTURA. AF_01/2024",M,"R$ 49,97","45,27","R$ 2.262,14","R$ 2.747,36",,,,,,
19.1.6,94273,SINAPI,"ASSENTAMENTO DE GUIA (MEIO-FIO) EM TRECHO RETO, CONFECCIONADA EM CONCRETO PRÉ-FABRICADO, DIMENSÕES 100X15X13X30 CM (COMPRIMENTO X BASE INFERIOR X BASE SUPERIOR X ALTURA). AF_01/2024",M,"R$ 35,76","308,37","R$ 11.027,31","R$ 13.392,66",,,,,,
19.1.7,94274,SINAPI,"ASSENTAMENTO DE GUIA (MEIO-FIO) EM TRECHO CURVO, CONFECCIONADA EM CONCRETO PRÉ-FABRICADO, DIMENSÕES 100X15X13X30 CM (COMPRIMENTO X BASE INFERIOR X BASE SUPERIOR X ALTURA). AF_01/2024",M,"R$ 38,13","13,68","R$ 521,61","R$ 633,49",,,,,,
19.1.8,92404,SINAPI,"EXECUÇÃO DE PAVIMENTO EM PISO INTERTRAVADO, COM BLOCO 16 FACES DE 22 X 11 CM, ESPESSURA 8 CM. AF_10/2022",M2,"R$ 60,92","2181,60","R$ 132.903,07","R$ 161.410,77",,,,,,
19.1.9,X0014,UFCA,"PISO PODOTÁTIL EXTERNO EM PMC ESP. 3CM, ASSENTADO COM ARGAMASSA (FORNECIMENTO E ASSENTAMENTO)",M2,"R$ 124,77","43,57","R$ 5.436,22","R$ 6.602,28",,,,,,
19.2,,,PAISAGISMO,,,,,,,,,,,
19.2.1,98505,SINAPI,PLANTIO DE FORRAÇÃO. AF_07/2024,M2,"R$ 95,46","61,18","R$ 5.840,24","R$ 7.092,97",,,,,,
19.2.2,98510,SINAPI,"PLANTIO DE ÁRVORE ORNAMENTAL COM ALTURA DE MUDA MENOR OU IGUAL A 2,00 M . AF_07/2024",UN,"R$ 100,09","50,00","R$ 5.004,50","R$ 6.077,96",,,,,,
19.2.3,98519,SINAPI,REVOLVIMENTO E LIMPEZA MANUAL DE SOLO. AF_07/2024,M2,"R$ 3,14","201,97","R$ 634,18","R$ 770,21",,,,,,
19.2.4,98520,SINAPI,APLICAÇÃO DE ADUBO EM SOLO. AF_07/2024,M2,"R$ 6,93","201,97","R$ 1.399,65","R$ 1.699,87",,,,,,
19.2.5,98521,SINAPI,APLICAÇÃO DE CALCÁRIO PARA CORREÇÃO DO PH DO SOLO. AF_07/2024,M2,"R$ 0,29","201,97","R$ 58,57","R$ 71,13",,,,,,
19.2.6,105521,SINAPI,ESPALHAMENTO DE TERRA VEGETAL PARA O PLANTIO. AF_07/2024,M2,"R$ 4,42","201,97","R$ 892,70","R$ 1.084,18",,,,,,
19.2.7,103946,SINAPI,"PLANTIO DE GRAMA ESMERALDA OU SÃO CARLOS OU CURITIBANA, EM PLACAS. AF_07/2024",M2,"R$ 15,86","140,79","R$ 2.232,92","R$ 2.711,88",,,,,,
19.3,,,PINTURA- URBANIZAÇÃO,,,,,,,,,,,
19.3.1,Q0026,UFCA,"PINTURA DE FAIXA DE PEDESTRE OU ZEBRADA COM TINTA RETRORREFLETIVA A BASE DE RESINA ACRÍLICA COM MICROESFERAS DE VIDRO, E = 30 CM, APLICAÇÃO MECÂNICA COM DEMARCADORA A TRAÇÃO MANUAL. AF_05/2021",M2,"R$ 29,05","16,36","R$ 475,25","R$ 577,19",,,,,,
19.3.2,Q0027,UFCA,"PINTURA DE DEMARCAÇÃO DE VAGA COM TINTA ACRÍLICA, E = 10 CM, APLICAÇÃO MECÂNICA COM DEMARCADORA A TRAÇÃO MANUAL. AF_05/2021",M,"R$ 6,89","675,64","R$ 4.655,15","R$ 5.653,67",,,,,,
19.3.3,Q0028,UFCA,"PINTURA DE SÍMBOLO  DE ACESSIBILIDADE COM TINTA ACRÍLICA, UTILIZAÇÃO DE MOLDE PLÁSTICO E APLICAÇÃO MECÂNICA, 120X120 CM. AF_05/2021",UN,"R$ 44,34","2,00","R$ 88,68","R$ 107,70",,,,,,
19.3.4,102513,SINAPI,"PINTURA DE SÍMBOLOS E TEXTOS COM TINTA ACRÍLICA, DEMARCAÇÃO COM FITA ADESIVA E APLICAÇÃO COM ROLO. AF_05/2021",M2,"R$ 39,77","27,27","R$ 1.084,52","R$ 1.317,14",,,,,,
19.3.5,Q0029,UFCA,"PINTURA DE EIXO VIÁRIO COM TINTA RETRORREFLETIVA A BASE DE RESINA ACRÍLICA COM MICROESFERAS DE VIDRO, APLICAÇÃO MECÂNICA COM DEMARCADORA A TRAÇÃO MANUAL. AF_05/2021",M,"R$ 6,19","19,40","R$ 120,08","R$ 145,83",,,,,,
19.4,,,PLACAS E SINALIZAÇÃO,,,,,,,,,,,
19.4.1,R0007,UFCA,PLACA DE REGULAMENTAÇÃO/ADVERTÊNCIA REFLETIVA EM ACO GALVANIZADO - FORNECIMENTO E FIXAÇÃO EM POSTES,M2,"R$ 843,15","2,78","R$ 2.343,95","R$ 2.846,72",,,,,,
19.4.2,R0008,UFCA,"POSTE EM TUBO DE AÇO GALVANIZADO DN 65 MM (2 1/2""), E=3,35 MM, ALTURA ÚTIL=2,50 M, ALTURA TOTAL=3,20 M COM ALETAS ANTIGIRO E= 4,75 MM",UN,"R$ 335,57","8,00","R$ 2.684,56","R$ 3.260,39",,,,,,
19.4.3,R0013,UFCA,"PLACA INDICATIVA EM ACRÍLICO E=3MM, COM ADESIVO SOBREPOSTO, DIM.: 0.30 X 0.12 M, FORNECIMENTO E INSTALAÇÃO",UN,"R$ 41,74","29,00","R$ 1.210,46","R$ 1.470,10",,,,,,
19.5,,,MOBILIÁRIO URBANO,,,,,,,,,,,
19.5.1,S0011,UFCA,"BANCO RETO DE 150 CM, EM AÇO E MADEIRA, PARA MOBILIÁRIO URBANO. SEM PINTURA E INCLUSO INSTALAÇÃO",UN,"R$ 538,87","12,00","R$ 6.466,44","R$ 7.853,49",,,,,,
19.5.2,S0018,UFCA,"POSTE DE 25 CM DE DIÂMETRO EM EUCALIPTO, PARA REDÁRIO. SEM PINTURA",M,"R$ 105,51","60,00","R$ 6.330,60","R$ 7.688,51",,,,,,
19.5.3,S0019,UFCA,PAR DE ARMADOR/ GANCHO PARA REDE DE DORMIR FIXADO COM 4 PARAFUSOS. INCLUSO INSTALAÇÃO,UN,"R$ 40,21","18,00","R$ 723,78","R$ 879,03",,,,,,
2.0,,,SERVIÇOS PRELIMINARES/TÉCNICOS,,,,,,,"R$ 144.683,92","R$ 175.718,52",,,
2.1,B0051,UFCA,ART OBRA (EXECUÇÃO),UN,"R$ 271,47","2,00","R$ 542,94","R$ 659,40",,,,,,
2.10,B0048,UFCA,EXECUÇÃO DE SANITÁRIO E VESTIÁRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,M2,"R$ 226,68","16,00","R$ 3.626,88","R$ 4.404,84",,,,,,
2.11,B0030,UFCA,PLACA DE OBRA EM CHAPA DE AÇO GALVANIZADO,M2,"R$ 426,91","25,76","R$ 10.997,20","R$ 13.356,09",,,,,,
2.12,98525,SINAPI,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",M2,"R$ 0,54","44011,14","R$ 23.766,01","R$ 28.863,81",,,,,,
2.13,98459,SINAPI,TAPUME COM TELHA METÁLICA. AF_03/2024,M2,"R$ 79,19","401,74","R$ 31.813,79","R$ 38.637,84",,,,,,
2.14,B0031,UFCA,LOCAÇÃO DA OBRA COM AUXÍLIO TOPOGRÁFICO,M2,"R$ 0,22","21728,15","R$ 4.780,19","R$ 5.805,54",,,,,,
2.15,99059,SINAPI,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",M,"R$ 54,74","150,12","R$ 8.217,56","R$ 9.980,22",,,,,,
2.16,98524,SINAPI,LIMPEZA MANUAL DE VEGETAÇÃO EM TERRENO COM ENXADA. AF_03/2024,M2,"R$ 3,97","400,00","R$ 1.588,00","R$ 1.928,62",,,,,,
2.17,100981,SINAPI,"CARGA, MANOBRA E DESCARGA DE ENTULHO EM CAMINHÃO BASCULANTE 6 M³ - CARGA COM ESCAVADEIRA HIDRÁULICA (CAÇAMBA DE 0,80 M³ / 111 HP) E DESCARGA LIVRE (UNIDADE: M3). AF_07/2020",M3,"R$ 8,42","1956,05","R$ 16.469,94","R$ 20.002,74",,,,,,
2.18,B0037,UFCA,REMOÇÃO DE CERCAS,M2,"R$ 0,46","948,00","R$ 436,08","R$ 529,61",,,,,,
2.19,95967,SINAPI,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,H,"R$ 134,84","52,80","R$ 7.119,55","R$ 8.646,69",,,,,,
2.2,B0052,UFCA,ART DA FISCALIZAÇÃO,UN,"R$ 103,03","2,00","R$ 206,06","R$ 250,25",,,,,,
2.3,B0053,UFCA,RRT DA FISCALIZAÇÃO,UN,"R$ 125,40","1,00","R$ 125,40","R$ 152,29",,,,,,
2.4,B0033,UFCA,ALVARÁ DE CONSTRUÇÃO,UN,"R$ 1.764,59","1,00","R$ 1.764,59","R$ 2.143,09",,,,,,
2.5,B0016,UFCA,SONDAGEM À PERCUSSÃO P/RECONHECIMENTO DO SUBSOLO,M,"R$ 55,65","180,00","R$ 10.017,00","R$ 12.165,64",,,,,,
2.6,B0049,UFCA,RELATÓRIO FINAL DE SONDAGEM DO SOLO,H,"R$ 1.355,39","1,00","R$ 1.355,39","R$ 1.646,12",,,,,,
2.7,B0045,UFCA,"EXECUÇÃO DE ESCRITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 40M2",UN,"R$ 9.695,58","1,00","R$ 9.695,58","R$ 11.775,28",,,,,,
2.8,B0050,UFCA,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 21,16 M2",UN,"R$ 6.095,96","1,00","R$ 6.095,96","R$ 7.403,54",,,,,,
2.9,B0047,UFCA,EXECUÇÃO DE REFEITÓRIO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA,M2,"R$ 303,29","20,00","R$ 6.065,80","R$ 7.366,91",,,,,,
20.0,,,FORROS,,,,,,,"R$ 121.942,20","R$ 148.098,77",,,
20.1,96485,SINAPI,"FORRO EM RÉGUAS DE PVC, LISO, PARA AMBIENTES RESIDENCIAIS, INCLUSIVE ESTRUTURA UNIDIRECIONAL DE FIXAÇÃO. AF_08/2023_PS",M2,"R$ 62,59","93,56","R$ 5.855,92","R$ 7.112,01",,,,,,
20.2,96121,SINAPI,ACABAMENTOS PARA FORRO (RODA-FORRO EM PERFIL METÁLICO E PLÁSTICO). AF_08/2023,M,"R$ 9,86","115,60","R$ 1.139,81","R$ 1.384,29",,,,,,
20.3,96114,SINAPI,"FORRO EM DRYWALL, PARA AMBIENTES COMERCIAIS, INCLUSIVE ESTRUTURA BIRECIONAL DE FIXAÇÃO. AF_08/2023_PS",M2,"R$ 67,33","324,72","R$ 21.863,39","R$ 26.553,08",,,,,,
20.4,99054,SINAPI,"ACABAMENTOS PARA FORRO (SANCA DE GESSO, MONTADA NA OBRA). AF_08/2023_PS",M2,"R$ 50,03","20,31","R$ 1.016,10","R$ 1.234,05",,,,,,
20.5,G0005,UFCA,CHAPA DE GESSO ACARTONADO PARAFUSADO SOBRE LAJE. INCLUSA FITA E MASSA PARA VEDAÇÃO ENTRE CHAPAS,M2,"R$ 30,83","12,40","R$ 382,29","R$ 464,29",,,,,,
20.6,V0001,UFCA,"FORRO DE FIBRA MINERAL EM PLACAS DE 1250 X 625 MM, E = 15 MM, BORDA RETA, COM PINTURA ANTIMOFO, APOIADO EM PERFIL DE ACO GALVANIZADO COM 24 MM DE BASE - INSTALADO",M2,"R$ 100,82","909,39","R$ 91.684,69","R$ 111.351,05",,,,,,
21.0,,,PISOS,,,,,,,"R$ 188.656,13","R$ 229.122,80",,,
21.1,X0004,UFCA,"LASTRO DE CONCRETO MAGRO, APLICADO EM PISOS OU RADIERS, ESPESSURA DE 5CM COM MALHA 15 X 15 CM DE FERRO 5MM",M2,"R$ 35,31","714,17","R$ 25.217,34","R$ 30.626,45",,,,,,
21.10,101727,SINAPI,"PISO VINÍLICO SEMI-FLEXÍVEL EM PLACAS, PADRÃO LISO, ESPESSURA 3,2 MM, FIXADO COM COLA. AF_09/2020",M2,"R$ 176,73","50,86","R$ 8.988,48","R$ 10.916,50",,,,,,
21.11,X0008,UFCA,"REGULARIZAÇÃO DE PISO COM ARGAMASSA AUTONIVELANTE, APLICADO SOBRE CONTRAPISO, ADERIDO, ESPESSURA 3MM.",M2,"R$ 59,83","50,86","R$ 3.042,95","R$ 3.695,66",,,,,,
21.12,X0009,UFCA,PREPARAÇÃO DE PISO COM PRIMER ACRÍLICO (REF. TARKOPRIMER OU SIMILAR),M2,"R$ 24,62","50,86","R$ 1.252,17","R$ 1.520,76",,,,,,
21.13,101748,SINAPI,PREPARO DE CONTRAPISO COM POLITRIZ. AF_09/2020,M2,"R$ 3,04","50,86","R$ 154,61","R$ 187,77",,,,,,
21.14,101739,SINAPI,"RODAPÉ EM MADEIRA, ALTURA 7CM, FIXADO COM COLA E PARAFUSOS. AF_09/2020",M,"R$ 37,64","20,14","R$ 758,06","R$ 920,66",,,,,,
21.15,X0023,UFCA,PERFIL DE ALUMÍNIO PARA ARREMATE DE SOLEIRAS,M,"R$ 34,14","9,50","R$ 324,33","R$ 393,89",,,,,,
21.2,87735,SINAPI,"CONTRAPISO EM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA), PREPARO MECÂNICO COM BETONEIRA 400 L, APLICADO EM ÁREAS MOLHADAS SOBRE LAJE, ADERIDO, ACABAMENTO NÃO REFORÇADO, ESPESSURA 2CM. AF_07/2021",M2,"R$ 35,86","100,06","R$ 3.588,15","R$ 4.357,80",,,,,,
21.3,87630,SINAPI,"CONTRAPISO EM ARGAMASSA TRAÇO 1:4 (CIMENTO E AREIA), PREPARO MECÂNICO COM BETONEIRA 400 L, APLICADO EM ÁREAS SECAS SOBRE LAJE, ADERIDO, ACABAMENTO NÃO REFORÇADO, ESPESSURA 3CM. AF_07/2021",M2,"R$ 32,80","1257,69","R$ 41.252,23","R$ 50.100,83",,,,,,
21.4,X0013,UFCA,"PISO PODOTÁTIL INTERNO EM BORRACHA 25x25cm, ESPESSURA 5MM, FIXADO COM ADESIVO ACRÍLICO",M2,"R$ 198,56","13,00","R$ 2.581,28","R$ 3.134,96",,,,,,
21.5,87249,SINAPI,REVESTIMENTO CERÂMICO PARA PISO COM PLACAS TIPO ESMALTADA DE DIMENSÕES 45X45 CM APLICADA EM AMBIENTES DE ÁREA MENOR QUE 5 M2. AF_02/2023_PE,M2,"R$ 65,46","21,02","R$ 1.375,96","R$ 1.671,10",,,,,,
21.6,87251,SINAPI,REVESTIMENTO CERÂMICO PARA PISO COM PLACAS TIPO ESMALTADA DE DIMENSÕES 45X45 CM APLICADA EM AMBIENTES DE ÁREA MAIOR QUE 10 M2. AF_02/2023_PE,M2,"R$ 49,59","113,28","R$ 5.617,55","R$ 6.822,51",,,,,,
